!
interface Vlan100
 ip address 10.15.3.15 255.255.255.0
 ip accounting output-packets  ------------------------> CONFIGURADA
 ip flow ingress
!

!!RECORDAR DEJAR DESCONFIGURADA!!

ANCUD_LIBERTAD669#sho ip accounting 
   Source           Destination              Packets               Bytes
 64.233.190.18    10.15.3.14                      27                4533
 91.0.1.109       10.15.3.16                      45                7047
 91.0.1.115       10.15.3.2                       22                2071
 91.0.1.115       10.15.3.1                        3                 123
 64.233.190.188   10.15.3.152                     22               10030
 91.0.11.109      10.15.3.14                      28                3842
 91.0.11.109      10.15.3.2                       27                3800
 91.0.11.109      10.15.3.1                       28                3840
 91.0.1.115       10.15.3.16                       1                  40
 91.0.1.22        10.15.3.14                      18                 720
 91.0.1.22        10.15.3.2                       15                 600
 91.0.1.22        10.15.3.1                       18                 720
 91.0.1.22        10.15.3.16                      15                 600
 91.0.0.3         10.15.3.2                       45               13112
 91.0.1.51        10.15.3.14                       4                 536
 10.93.68.96      10.15.3.16                       1                  48
 91.0.1.52        10.15.3.14                      24                4450
 91.0.1.52        10.15.3.1                      270               66571
 91.0.1.52        10.15.3.2                       24                4449
 91.0.1.51        10.15.3.2                        8                 629
 91.0.1.51        10.15.3.1                        2                 160
 91.0.1.41        10.15.3.2                       71               10597
 91.0.1.52        10.15.3.16                      26                5522
 91.0.1.43        10.15.3.14                      16                1366
 64.233.190.101   10.15.3.14                       8                 435
 64.233.190.100   10.15.3.14                      17                1369
 10.94.78.112     10.15.3.16                       1                  48
 91.0.1.51        10.15.3.16                      13                1493
 64.233.190.139   10.15.3.14                      53                5020
 91.0.0.215       10.15.3.16                       5                 280
 64.233.190.189   10.15.3.14                      42                7804
 64.233.190.188   10.15.3.14                       7                 364
 91.18.47.112     10.15.3.191                    133                6376
 91.18.51.11      10.15.3.191                    132                6304
 91.18.41.17      10.15.3.191                    132                6336
 192.168.1.62     10.15.3.152                      6                1377
 91.18.51.10      10.15.3.191                    136                6496
 91.18.47.11      10.15.3.191                  27226             1111713
 91.18.47.10      10.15.3.191                    130                6224
 91.0.1.190       10.15.3.2                       39                6670
 64.233.190.106   10.15.3.152                     12                4784
 91.0.1.35        10.15.3.152                     16                9942
 91.0.1.33        10.15.3.150                      3                 252
 192.168.1.25     10.15.3.152                      1                  40
 64.233.190.102   10.15.3.152                     12                 715
 91.0.1.52        10.15.3.152                      1                 151
 91.0.1.51        10.15.3.152                     18                2532
 91.0.1.162       10.15.3.2                       22               12348
 91.0.1.54        10.15.3.150                      5                 300

Accounting data age is 5
ANCUD_LIBERTAD669#
